days_since_infection,median,lower_95,upper_95
0,0.0049237222,0.0004000198,0.0199771568
0.1,0.0061347498,0.0005298898,0.0237458248
0.2,0.0076050605,0.0006893223,0.0289895316
0.3,0.0093669008,0.000912243,0.0348878566
0.4,0.0115654989,0.0011660395,0.0426076747
0.5,0.0143059592,0.0015356242,0.0529107959
0.6,0.0176253385,0.0020242275,0.0659615764
0.7,0.0214932969,0.0026208596,0.0825766327
0.8,0.0262523265,0.0033192188,0.1019083572
0.9,0.0322974515,0.004234666,0.128245758
1,0.0394891819,0.0053821627,0.1610064399
1.1,0.0480881827,0.006945601,0.2016920172
1.2,0.0583317616,0.0085636372,0.2485557841
1.3,0.0707183448,0.0109277681,0.3065941447
1.4,0.0854461208,0.0137236757,0.3712903578
1.5,0.1028770629,0.017360478,0.4405562703
1.6,0.1229774506,0.0213467097,0.5143428803
1.7,0.1461394956,0.0263539501,0.5860364361
1.8,0.1757684251,0.0325481294,0.6580811169
1.9,0.2083329948,0.0400344604,0.7198825513
2,0.2460313036,0.0482901877,0.7664010138
2.1,0.2860097672,0.0571148948,0.8018793869
2.2,0.3322714861,0.0684895471,0.8177807827
2.3,0.3809265868,0.0816197139,0.8380324674
2.4,0.4328272952,0.0973420044,0.8501174965
2.5,0.4840396237,0.1149304019,0.8616982075
2.6,0.5363420897,0.1323352376,0.8687105329
2.7,0.58800024,0.1549788505,0.8731657758
2.8,0.6374980455,0.1759727327,0.8763345879
2.9,0.6780725761,0.1995485911,0.8802547321
3,0.7099497383,0.2261205074,0.8809941388
3.1,0.7320917345,0.2546205289,0.8823191218
3.2,0.7467751833,0.2845052684,0.8840382956
3.3,0.7596917871,0.3154301104,0.8860249442
3.4,0.7669758806,0.3511436778,0.8876386543
3.5,0.7734934658,0.3853924769,0.8897253867
3.6,0.7777904086,0.4174045174,0.8904162601
3.7,0.7807725016,0.457846334,0.8897387224
3.8,0.7826037232,0.4924312898,0.890170118
3.9,0.7846786427,0.5250773722,0.8907345533
4,0.7853919464,0.55896625,0.8920246568
4.1,0.7852491187,0.5826438357,0.8933392923
4.2,0.7853207852,0.6020300802,0.8936357681
4.3,0.7841924184,0.6107553256,0.8917028861
4.4,0.7825329747,0.6211883392,0.8922345813
4.5,0.7807318718,0.6245387951,0.8915480815
4.6,0.7785986588,0.6231617535,0.8899460762
4.7,0.7761716441,0.6221670352,0.8878367567
4.8,0.772986237,0.6185268692,0.8865684003
4.9,0.7701857018,0.6158024432,0.8869293168
5,0.7667440674,0.6131155182,0.8849400687
5.1,0.7628939788,0.6091021338,0.8825014086
5.2,0.7589129658,0.6056677279,0.8809464322
5.3,0.7547808455,0.6026567062,0.8784214786
5.4,0.7507140015,0.5986101709,0.875304916
5.5,0.7469703526,0.5945619746,0.8722774014
5.6,0.7427507092,0.5904959212,0.8692938377
5.7,0.7382160932,0.5866927568,0.8662678947
5.8,0.7338521663,0.5824053132,0.8626864189
5.9,0.7293788086,0.5780906674,0.8596320858
6,0.7250507441,0.5737640669,0.8565739158
6.1,0.7204299264,0.5694392359,0.8525817365
6.2,0.7158917447,0.5650989865,0.849590775
6.3,0.7113141466,0.5607482853,0.8456803265
6.4,0.7067477917,0.5564963252,0.8421316778
6.5,0.7021918454,0.5526207683,0.8384624052
6.6,0.6972623295,0.547675228,0.8342984415
6.7,0.6925302879,0.5432485469,0.8306330429
6.8,0.6876303378,0.5388530706,0.8258725903
6.9,0.682716082,0.5340626765,0.8213978567
7,0.6774717764,0.5294362818,0.8181408627
7.1,0.6724615247,0.5238357716,0.8136741502
7.2,0.6676097738,0.5195395097,0.809116489
7.3,0.6626808106,0.5152686219,0.8045454125
7.4,0.6577508981,0.5111343306,0.7999693203
7.5,0.6524578207,0.5067566242,0.7953774247
7.6,0.6471984105,0.5022146129,0.7908329768
7.7,0.6418426722,0.4976790466,0.7862560877
7.8,0.6366321794,0.4932938455,0.7816062909
7.9,0.6313816823,0.4880324185,0.7764706321
8,0.6260166355,0.4837791387,0.7713612718
8.1,0.6206749397,0.4795134667,0.7662835566
8.2,0.6153093978,0.4749105097,0.7616612115
8.3,0.6098396224,0.4702035079,0.7565631739
8.4,0.6045484909,0.4656901594,0.7517314312
8.5,0.5991058635,0.4614239651,0.7469178522
8.6,0.5937343744,0.4569954041,0.7411489408
8.7,0.5882010548,0.4524058114,0.7361050187
8.8,0.5824659709,0.4478775034,0.7311527977
8.9,0.576933448,0.442817129,0.7257292255
9,0.5712238377,0.4374981638,0.7201629893
9.1,0.5655378527,0.4320389446,0.7145788367
9.2,0.5601568196,0.4281507785,0.7086358318
9.3,0.5542189203,0.4230568066,0.7023023133
9.4,0.5485577898,0.4173880018,0.6964312528
9.5,0.5433213277,0.4125784383,0.6903704154
9.6,0.5376934393,0.4079538114,0.6843734392
9.7,0.5314430222,0.4032529649,0.6786577707
9.8,0.5254316893,0.3986347362,0.6730676828
9.9,0.5198054255,0.3940004616,0.6656511489
10,0.5146848385,0.3896774535,0.6596986215
10.1,0.5091820356,0.385169133,0.6537039932
10.2,0.5036036476,0.3806804398,0.6478225638
10.3,0.4978868818,0.3762190177,0.6415893605
10.4,0.4922063139,0.3717882739,0.6353153463
10.5,0.4866604944,0.3672361579,0.6292900415
10.6,0.4810958778,0.3621249098,0.6230813536
10.7,0.4754404352,0.3567946737,0.6168014496
10.8,0.4697314808,0.3524507854,0.6101113531
10.9,0.4641802759,0.3484479468,0.603376545
11,0.4587045278,0.3435163638,0.5970004443
11.1,0.4533333779,0.3388102301,0.5900585333
11.2,0.4471862861,0.3342574349,0.5837623664
11.3,0.4418487007,0.3294740946,0.5778865041
11.4,0.4365199573,0.3245238271,0.5719215548
11.5,0.4307625729,0.3204960682,0.5655045742
11.6,0.4252937795,0.3161939003,0.5588199768
11.7,0.419920102,0.311385674,0.552519033
11.8,0.4145589783,0.3066430394,0.5465051137
11.9,0.4093698531,0.3017701901,0.5403647406
12,0.4039897751,0.2962976205,0.5337633284
12.1,0.3985333997,0.2912827562,0.5271437211
12.2,0.3931663746,0.2865781067,0.5208780979
12.3,0.3877601463,0.2813563989,0.5147081021
12.4,0.3825050308,0.2770215038,0.5072724472
12.5,0.3771386555,0.2728273169,0.5008825164
12.6,0.3719133326,0.2686475293,0.4938462265
12.7,0.3665557789,0.2646728417,0.4871492841
12.8,0.3613976279,0.2602992762,0.4815333824
12.9,0.3561084023,0.2562699208,0.4754626793
13,0.3509142836,0.2516105264,0.4693745215
13.1,0.3455167461,0.2475092248,0.4627735221
13.2,0.3405542608,0.2437273526,0.4568433119
13.3,0.3356092156,0.2395546072,0.4510776427
13.4,0.330671103,0.2354504647,0.4452813637
13.5,0.3258151265,0.2314860715,0.4396243423
13.6,0.3207766608,0.2269087742,0.4337263483
