days_since_infection,median,lower_95,upper_95
0,0.0034248221,0.0001608924,0.0168156125
0.1,0.0041346876,0.0002140182,0.019361304
0.2,0.0049973183,0.0002781574,0.0219234553
0.3,0.0059936524,0.000352528,0.0257078189
0.4,0.0071755423,0.0004468403,0.0301375563
0.5,0.0085306668,0.0005647251,0.0356469325
0.6,0.0102175157,0.0007291674,0.042777093
0.7,0.0121769231,0.00091984,0.0513494161
0.8,0.0146323474,0.0011766679,0.0615580298
0.9,0.0176883743,0.0015009414,0.0751055402
1,0.0211126896,0.0019110855,0.0912383235
1.1,0.0251258214,0.0023766949,0.111930535
1.2,0.0298329528,0.0029412404,0.1350829379
1.3,0.0353768839,0.0036228252,0.1655633208
1.4,0.0416615144,0.0045027304,0.2028553975
1.5,0.0492941903,0.0057074204,0.2465457795
1.6,0.0586035036,0.0069349217,0.292584298
1.7,0.0689686629,0.0083419397,0.3399467184
1.8,0.0808567984,0.010232719,0.4024866568
1.9,0.0948492722,0.0125546363,0.4668111101
2,0.1104261657,0.0154132714,0.5310611987
2.1,0.12900314,0.0189555914,0.588084824
2.2,0.1503464168,0.0231585997,0.6394121672
2.3,0.1738400842,0.0277676348,0.6841368411
2.4,0.2009383822,0.0328187977,0.7102661891
2.5,0.2317414846,0.0387524107,0.7288875951
2.6,0.2649688995,0.0454123534,0.7486137983
2.7,0.2997501439,0.0537641448,0.7644040281
2.8,0.33870713,0.0605481736,0.775828526
2.9,0.3801508878,0.0713619797,0.7799726353
3,0.4227798126,0.0841293072,0.7906227585
3.1,0.4639642681,0.0953651103,0.7995245362
3.2,0.5029644735,0.1091657666,0.8077671379
3.3,0.5332187257,0.1227000915,0.8129931253
3.4,0.5615225941,0.1392263109,0.8150336208
3.5,0.5804170602,0.1588929879,0.8174411453
3.6,0.5988098115,0.1762441633,0.8279229558
3.7,0.6115483016,0.196246368,0.8348638435
3.8,0.6192051477,0.2171733356,0.836574801
3.9,0.6247633001,0.2401308883,0.8382664114
4,0.6322470774,0.2660356792,0.8408598904
4.1,0.6361296226,0.2915015328,0.8399794551
4.2,0.6377190926,0.3165396601,0.8421558491
4.3,0.6375014557,0.3398721256,0.8427939584
4.4,0.6371916281,0.3600546401,0.8429051177
4.5,0.6351959953,0.3680500503,0.8477808032
4.6,0.6325996401,0.3797970078,0.8458333286
4.7,0.6294683381,0.3807773375,0.8452778491
4.8,0.624030216,0.3768204686,0.8471079024
4.9,0.6176015314,0.373895924,0.8460403961
5,0.6103792235,0.3702967957,0.8444483326
5.1,0.6024620994,0.3670180975,0.8384663581
5.2,0.5937738406,0.3627016559,0.8377033557
5.3,0.5852697795,0.3570802269,0.8383479703
5.4,0.5758735486,0.351022771,0.8377598154
5.5,0.5661583264,0.342565799,0.8338498319
5.6,0.5556406141,0.3359252045,0.8265096097
5.7,0.5444715846,0.3276945373,0.8186469225
5.8,0.5333946137,0.318798949,0.8150598555
5.9,0.5218992153,0.3091888308,0.811570404
6,0.5100778648,0.3010059294,0.8049453861
6.1,0.497889329,0.2930759691,0.7983089996
6.2,0.4869161514,0.2846462441,0.7871908289
6.3,0.4752903892,0.2767742078,0.7770134934
6.4,0.4639078007,0.2697938201,0.7647408457
6.5,0.4527837232,0.2624571965,0.7566364234
6.6,0.4413899455,0.2539206252,0.7439976229
6.7,0.4298420723,0.246457452,0.7328912164
6.8,0.4181342665,0.2377404208,0.7195439615
6.9,0.4057433297,0.2314317508,0.7074356594
7,0.395001457,0.222886797,0.6952535707
7.1,0.3837770986,0.215248698,0.6805213151
7.2,0.3732885687,0.2073681964,0.663019836
7.3,0.3625305449,0.1995257937,0.6483976409
7.4,0.3525929154,0.1917947693,0.6345505842
7.5,0.3418717986,0.1853180547,0.6204194453
7.6,0.3318709407,0.1782476973,0.6034109458
7.7,0.3214677539,0.1710976692,0.5875919263
7.8,0.3114718834,0.1641151875,0.5721314661
7.9,0.3019419414,0.1568320613,0.5565876969
8,0.2927312055,0.1493227987,0.5409717403
8.1,0.2838612037,0.1422448732,0.5250482721
8.2,0.2744219377,0.1365665369,0.5115649274
8.3,0.2660552611,0.1309159143,0.4953810843
8.4,0.2570916636,0.1249553708,0.4801588644
8.5,0.2484944884,0.1186839616,0.4663832671
8.6,0.2401075847,0.1123630219,0.4523401237
8.7,0.2317870727,0.1061332356,0.4393549988
8.8,0.2235538597,0.1004564465,0.4250930149
8.9,0.2155271597,0.0950049731,0.4126744711
9,0.2078337928,0.0902890326,0.3979241076
9.1,0.2003890522,0.0856976736,0.3819035733
9.2,0.1927180124,0.0809583642,0.369520783
9.3,0.1855551602,0.0763268346,0.3563884292
9.4,0.1789485014,0.0721558726,0.3440599976
9.5,0.1723447265,0.068452838,0.3320007452
9.6,0.1656537051,0.0639933707,0.3225185186
9.7,0.1589932962,0.0603659141,0.3122183468
9.8,0.1527309638,0.0569998333,0.3011869862
9.9,0.1472198131,0.0533021195,0.290758029
10,0.1414198905,0.0500592708,0.2816250199
10.1,0.1359756022,0.0471183108,0.2718414833
10.2,0.1304796381,0.0443549605,0.2633020651
10.3,0.1254443304,0.0414698147,0.2537642855
10.4,0.1203913404,0.0387497414,0.2456380343
10.5,0.1155644124,0.0364490303,0.2376806623
10.6,0.1105531405,0.0338359562,0.2284658644
10.7,0.1059826799,0.0311995939,0.2214985177
10.8,0.1015996288,0.0291696712,0.2147871456
10.9,0.0975351917,0.0273636026,0.2080863049
11,0.0935421442,0.0256889231,0.2011979241
11.1,0.0894605723,0.0240043024,0.1949479036
11.2,0.0857650837,0.0223737129,0.1888312402
11.3,0.0823801238,0.0208387164,0.1827751774
11.4,0.0790864278,0.0193257852,0.1764952424
11.5,0.0755680823,0.0180465432,0.1715088347
11.6,0.0723747495,0.0167067936,0.1665090696
11.7,0.0692156092,0.0156080105,0.1617221216
11.8,0.0663302589,0.0145968257,0.1562814147
11.9,0.0634088124,0.0135896083,0.1516674018
12,0.0605572743,0.0125665828,0.1472932223
12.1,0.0580247744,0.0114230867,0.1428362546
12.2,0.0554994516,0.0105304499,0.1384730376
12.3,0.0530202681,0.0096953167,0.1343923701
12.4,0.0507274427,0.0089336081,0.1312933502
12.5,0.0485329696,0.0082473787,0.1275881888
12.6,0.0465189452,0.0076166634,0.1238932218
12.7,0.0446323165,0.0069888808,0.1205662882
12.8,0.0427861177,0.0064489144,0.1169700133
12.9,0.0409182753,0.0059992214,0.1131500051
13,0.0390531152,0.0056151321,0.110472017
13.1,0.0374056687,0.0052790639,0.1077138555
13.2,0.0357321255,0.0049629703,0.1047778089
13.3,0.034093953,0.0046117463,0.1013576898
13.4,0.0325284853,0.004253372,0.0985107905
13.5,0.0310583583,0.0038988506,0.0953853308
13.6,0.0296210385,0.0035976363,0.0930059718
